month   day	year	eot

11	    01	19	15:22.26
11	    02	19	16:25.09
11	    03	19  16:26.01
11	    04	19  16:26.13
11	    05	19  16:25.43
11	    06	19  16:23.89
11	    07	19  16:21.53
11	    08	19  16:18.32
11	    09	19  16:14.28
11	    10	19  16:9.38
11      11  19  16:3.65
11      12  19  15:57.06
11      13  19  15:49.63
11      14  19  15:41.35
11      15  19  15:32.23
11      16  19  15:22.26
11      17  19  15:11.45
11      18  19  14:59.81
11      19  19  14:47.32
11      20  19  14:34.01
11      21  19  14:19.88
11      22  19  14:4.94
11      23  19  13:49.19
11      24  19  13:32.66
11      25  19  13:15.36
11      26  19  12:57.3
11      27  19  12:38.49
11      28  19  12:18.96
11      29  19  11:58.71
11      30  19  11:37.76


